name_first,name_last,mlb_played_first,key_bbref,key_fangraphs
Liván,Hernández,1996.0,hernali01,1116
Masahiro,Tanaka,2014.0,tanakma01,15764
Roberto,Hernández,2006.0,carmofa01,3273
Félix,Bautista,2022.0,bautife01,20666
Félix,Hernández,2005.0,hernafe02,4772
Francisco,Rodríguez,2002.0,rodrifr03,1642
Dellin,Betances,2011.0,betande01,6216
Alexi,Ogando,2010.0,ogandal01,10261
Edinson,Vólquez,2005.0,volqued01,3990
